0,class
"""Projector and screen""",Facilities
"""Pack ’n Play/travel crib",Kids Friendly
"""Outdoor parking""",Parking
"""Bathroom essentials""",Bathroom Essentials
Sauna,Facilities
"""Beach view""",Facilities
"""Private pool""",Facilities
"""Fax machine""",Work Friendly
"""Ceiling fan""",Temperature Control
Bidet,Other
"""Exercise equipment""",Facilities
"""High-resolution computer monitor""",Work Friendly
"""Warming drawer""",Facilities
"""Jetted tub""",Facilities
"""Private hot tub""",Facilities
"Cable TV""",Entertainment
Cat(s),Pet Friendly
"""Fire pit""",Security
Dog(s),Pet Friendly
"""Shared gym""",Facilities
Pets allowed,Pet Friendly
"""Electric profiling bed""",Other
"""Touchless faucets""",Other
"""Stair gates",Other
"""Room-darkening shades",Facilities
"""Air purifier",Other
"""Suitable for events",Other
"""translation missing: en.hosting_amenity_49""",Other
"""translation missing: en.hosting_amenity_50",Other
"""translation missing: en.hosting_amenity_50""",Other
"""Babysitter recommendations",Kids Friendly
"translation missing: en.hosting_amenity_49""",Other
"""Other pet(s)""",Pet Friendly
"""Outlet covers",Kids Friendly
"""Private bathroom""",Bathroom Essentials
"""Fireplace guards",Security
"""Firm mattress""",Other
"""translation missing: en.hosting_amenity_49",Other
"Family/kid friendly""",Kids Friendly
"""Children’s books and toys",Kids Friendly
"""Firm mattress",Other
"""Game console",Entertainment
"Pets allowed""",Pet Friendly
Family/kid friendly,Kids Friendly
"""Fire extinguisher",Security
"""Ground floor access""",Accessibility
"""Family/kid friendly",Kids Friendly
"""First aid kit",Bathroom Essentials
"""Smoke detector",Security
"""Window guards",Security
"""Washer / Dryer""",Kitchen
